Jobs_per_ 1Minute,Jobs_per_ 5 Minutes,Jobs_per_ 15Minutes,Mem capacity,Disk_capacity_GB,Num_of_CPU_Cores,CPU_speed_per_Core,Avg_Recieve_Kbps,Avg_Transmit_Kbps,Class_Name
10.909,11.091,12.182,12,128.72872,6,1,31.248,31.248,'Very Low'
12.3,14.1,14.9,12,128.72872,6,1,31.248,31.248,'Low'
14.0,13.455,13.273,12,128.72872,6,1,31.248,31.248,'Very Low'
15.2,14.6,14.9,12,128.72872,6,1,31.248,31.248,'Low'
8.818,9.091,9.0,12,128.72872,6,1,31.248,31.248,'Very Low'
8.636,8.455,8.636,12,128.72872,6,1,31.248,31.248,'Very Low'
4.2,5.6,6.3,12,128.72872,6,1,31.248,31.248,'Very Low'
5.0,5.364,6.0,12,128.72872,6,1,31.248,31.248,'Very Low'
4.3,5.2,5.9,12,128.72872,6,1,31.248,31.248,'Very Low'
3.909,4.818,5.364,12,128.72872,6,1,31.248,31.248,'Very Low'
6.7,8.9,11.6,12,128.72872,6,1,31.248,31.248,'Very Low'
9.182,9.091,7.818,12,128.72872,6,1,31.248,31.248,'Very Low'
3.9,4.6,5.3,12,128.72872,6,1,31.248,31.248,'Very Low'
3.909,5.0,5.545,12,128.72872,6,1,31.248,31.248,'Very Low'
4.455,5.182,5.818,12,128.72872,6,1,31.248,31.248,'Very Low'
5.5,5.6,6.3,12,128.72872,6,1,31.248,31.248,'Very Low'
6.273,7.364,8.182,12,128.72872,6,1,31.248,31.248,'Very Low'
7.727,8.455,8.909,12,128.72872,6,1,31.248,31.248,'Low'
6.3,8.6,9.5,12,128.72872,6,1,31.248,31.248,'Very Low'
9.0,9.818,10.091,12,128.72872,6,1,31.248,31.248,'Very Low'
9.0,9.818,10.455,12,128.72872,6,1,31.248,31.248,'Very Low'
9.1,10.3,11.2,12,128.72872,6,1,31.248,31.248,'Low'
8.364,9.909,10.818,12,128.72872,6,1,31.248,31.248,'Very Low'
12.2,12.3,12.9,12,128.72872,6,1,31.248,31.248,'Low'
11.545,13.091,13.455,12,128.72872,6,1,31.248,31.248,'Low'
10.636,10.909,11.0,12,128.72872,6,1,31.248,31.248,'Very Low'
5.273,7.182,7.636,12,128.72872,6,1,31.248,31.248,'Very Low'
3.4,4.8,5.6,12,128.72872,6,1,31.248,31.248,'Low'
3.818,5.091,5.818,12,128.72872,6,1,31.248,31.248,'Very Low'
4.545,5.455,6.0,12,128.72872,6,1,31.248,31.248,'Very Low'
3.3,4.9,6.0,12,128.72872,6,1,31.248,31.248,'Very Low'
3.727,5.273,6.091,12,128.72872,6,1,31.248,31.248,'Very Low'
7.273,9.364,11.545,12,128.72872,6,1,31.248,31.248,'Very Low'
9.0,8.7,7.9,12,128.72872,6,1,31.248,31.248,'Very Low'
3.364,4.818,5.636,12,128.72872,6,1,31.248,31.248,'Very Low'
4.6,5.1,5.5,12,128.72872,6,1,31.248,31.248,'Very Low'
3.273,4.545,5.273,12,128.72872,6,1,31.248,31.248,'Very Low'
3.455,4.818,5.818,12,128.72872,6,1,31.248,31.248,'Very Low'
6.5,6.9,7.5,12,128.72872,6,1,31.248,31.248,'Very Low'
5.0,6.364,7.091,12,128.72872,6,1,31.248,31.248,'Very Low'
6.182,6.818,7.091,12,128.72872,6,1,31.248,31.248,'Very Low'
5.1,6.6,7.5,12,128.72872,6,1,31.248,31.248,'Very Low'
4.818,6.545,7.364,12,128.72872,6,1,31.248,31.248,'Very Low'
5.909,6.727,7.182,12,128.72872,6,1,31.248,31.248,'Low'
4.6,6.2,7.1,12,128.72872,6,1,31.248,31.248,'Very Low'
5.727,6.909,7.455,12,128.72872,6,1,31.248,31.248,'Very Low'
6.545,7.182,7.636,12,128.72872,6,1,31.248,31.248,'Very Low'
5.4,6.7,7.6,12,128.72872,6,1,31.248,31.248,'Very Low'
5.909,7.273,7.818,12,128.72872,6,1,31.248,31.248,'Very Low'
6.9,7.5,7.8,12,128.72872,6,1,31.248,31.248,'Very Low'
3.273,5.364,6.182,12,128.72872,6,1,31.248,31.248,'Very Low'
4.182,5.182,5.818,12,128.72872,6,1,31.248,31.248,'Very Low'
3.6,4.4,5.2,12,128.72872,6,1,31.248,31.248,'Very Low'
3.273,4.727,5.545,12,128.72872,6,1,31.248,31.248,'Very Low'
3.1,4.6,5.5,12,128.72872,6,1,31.248,31.248,'Very Low'
6.0,8.0,10.182,12,128.72872,6,1,31.248,31.248,'Very Low'
8.545,8.273,7.273,12,128.72872,6,1,31.248,31.248,'Low'
3.909,5.273,5.818,12,128.72872,6,1,31.248,31.248,'Very Low'
4.0,5.091,5.909,12,128.72872,6,1,31.248,31.248,'Very Low'
5.091,6.909,7.636,12,128.72872,6,1,31.248,31.248,'Very Low'
7.2,7.2,7.7,12,128.72872,6,1,31.248,31.248,'Very Low'
4.545,6.364,7.455,12,128.72872,6,1,31.248,31.248,'Very Low'
6.727,7.636,7.909,12,128.72872,6,1,31.248,31.248,'Very Low'
6.7,7.1,7.8,12,128.72872,6,1,31.248,31.248,'Low'
5.273,7.273,8.0,12,128.72872,6,1,31.248,31.248,'Very Low'
8.0,7.727,8.0,12,128.72872,6,1,31.248,31.248,'Very Low'
5.1,7.4,8.3,12,128.72872,6,1,31.248,31.248,'Very Low'
5.818,7.364,8.182,12,128.72872,6,1,31.248,31.248,'Very Low'
6.727,8.545,10.455,12,128.72872,6,1,31.248,31.248,'Very Low'
13.4,14.5,14.1,12,128.72872,6,1,31.248,31.248,'Low'
5.455,7.091,7.545,12,128.72872,6,1,31.248,31.248,'Very Low'
4.818,5.364,5.818,12,128.72872,6,1,31.248,31.248,'Very Low'
3.6,4.9,5.7,12,128.72872,6,1,31.248,31.248,'Very Low'
4.273,5.273,6.0,12,128.72872,6,1,31.248,31.248,'Very Low'
4.4,5.0,5.8,12,128.72872,6,1,31.248,31.248,'Very Low'
3.545,4.818,5.909,12,128.72872,6,1,31.248,31.248,'Very Low'
4.182,5.455,6.273,12,128.72872,6,1,31.248,31.248,'Very Low'
6.6,8.9,11.8,12,128.72872,6,1,31.248,31.248,'Very Low'
10.455,10.182,8.909,12,128.72872,6,1,31.248,31.248,'Low'
4.636,5.636,6.636,12,128.72872,6,1,31.248,31.248,'Very Low'
3.4,5.5,6.5,12,128.72872,6,1,31.248,31.248,'Very Low'
5.091,6.0,6.727,12,128.72872,6,1,31.248,31.248,'Very Low'
5.091,5.727,6.727,12,128.72872,6,1,31.248,31.248,'Very Low'
5.8,7.3,8.3,12,128.72872,6,1,31.248,31.248,'Very Low'
6.273,8.182,8.909,12,128.72872,6,1,31.248,31.248,'Very Low'
6.455,7.091,8.091,12,128.72872,6,1,31.248,31.248,'Very Low'
7.4,9.4,10.5,12,128.72872,6,1,31.248,31.248,'Very Low'
10.545,10.818,11.545,12,128.72872,6,1,31.248,31.248,'Low'
9.8,10.6,11.5,12,128.72872,6,1,31.248,31.248,'Low'
10.273,11.909,13.182,12,128.72872,6,1,31.248,31.248,'Low'
11.636,12.455,13.545,12,128.72872,6,1,31.248,31.248,'Very Low'
13.364,13.364,13.182,12,128.72872,6,1,31.248,31.248,'Very Low'
6.8,8.7,9.5,12,128.72872,6,1,31.248,31.248,'Very Low'
6.545,7.545,8.182,12,128.72872,6,1,31.248,31.248,'Very Low'
5.5,6.2,6.7,12,128.72872,6,1,31.248,31.248,'Very Low'
3.364,5.364,6.273,12,128.72872,6,1,31.248,31.248,'Very Low'
4.636,5.818,6.364,12,128.72872,6,1,31.248,31.248,'Very Low'
5.0,5.4,6.3,12,128.72872,6,1,31.248,31.248,'Very Low'
3.545,5.364,6.091,12,128.72872,6,1,31.248,31.248,'Very Low'
4.364,5.273,6.0,12,128.72872,6,1,31.248,31.248,'Very Low'
4.8,7.4,10.0,12,128.72872,6,1,31.248,31.248,'Very Low'
8.636,9.091,8.0,12,128.72872,6,1,31.248,31.248,'Very Low'
4.091,5.545,6.636,12,128.72872,6,1,31.248,31.248,'Very Low'
4.7,5.9,6.5,12,128.72872,6,1,31.248,31.248,'Very Low'
4.091,5.545,6.182,12,128.72872,6,1,31.248,31.248,'Low'
5.5,6.0,6.5,12,128.72872,6,1,31.248,31.248,'Very Low'
6.455,7.909,9.091,12,128.72872,6,1,31.248,31.248,'Very Low'
6.9,8.0,9.1,12,128.72872,6,1,31.248,31.248,'Very Low'
10.364,12.364,13.545,12,128.72872,6,1,31.248,31.248,'Very Low'
11.636,12.364,12.818,12,128.72872,6,1,31.248,31.248,'Low'
11.8,12.6,12.7,12,128.72872,6,1,31.248,31.248,'Very Low'
10.7,13.3,14.6,12,128.72872,6,1,31.248,31.248,'Very Low'
15.455,16.909,19.0,12,128.72872,6,1,31.248,31.248,'Low'
21.8,19.7,17.9,12,128.72872,6,1,31.248,31.248,'Low'
10.545,11.091,10.818,12,128.72872,6,1,31.248,31.248,'Very Low'
